Time, Rain(mm), Latitude, 33.733, Longitude, -117.7,
CDR_1983, 666.961
CDR_1984, 200.730
CDR_1985, 142.075
CDR_1986, 284.016
CDR_1987, 249.265
CDR_1988, 198.002
CDR_1989, -99.000
CDR_1990, 125.332
CDR_1991, 295.029
CDR_1992, 329.503
CDR_1993, 505.525
CDR_1994, 222.780
CDR_1995, 449.577
CDR_1996, 303.293
CDR_1997, 216.999
CDR_1998, 447.388
CDR_1999, 126.999
CDR_2000, 208.229
CDR_2001, 299.007
CDR_2002, 137.733
CDR_2003, 257.365
CDR_2004, 334.005
CDR_2005, 501.515
CDR_2006, 203.995
CDR_2007, 117.983
CDR_2008, 288.517
CDR_2009, 145.088
CDR_2010, 345.695
CDR_2011, 195.643
CDR_2012, 156.398
CDR_2013, 115.687
CDR_2014, 170.138
CDR_2015, 153.911
CDR_2016, 202.839
CDR_2017, 225.319
CDR_2018, 209.155
CDR_2019, 365.174
CDR_2020, 243.155
CDR_2021, 236.998
CDR_2022, 162.351
